Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade,percentage
1,1,3,1,3,1,3,4,4,65.00,"6500,00%"
1,1,1,1,2,1,2,2,3,68.00,"6800,00%"
1,1,1,3,3,1,3,6,6,75.00,"7500,00%"
0,1,0,0,0,0,1,4,4,70.00,"7000,00%"
1,1,1,4,2,1,4,4,4,85.00,"8500,00%"
1,1,1,3,1,1,3,4,3,70.00,"7000,00%"
1,1,2,4,3,1,2,5,2,64.00,"6400,00%"
1,1,2,1,2,1,2,2,4,42.35,"4235,00%"
0,1,4,5,2,1,2,3,2,55.00,"5500,00%"
0,1,0,0,0,0,2,5,5,72.50,"7250,00%"
1,1,1,3,1,1,3,3,3,55.00,"5500,00%"
0,1,2,2,2,1,1,2,3,65.00,"6500,00%"
0,2,0,0,0,0,2,1,3,85.00,"8500,00%"
0,2,0,0,0,0,2,4,4,60.00,"6000,00%"
1,2,1,1,3,1,3,4,4,75.00,"7500,00%"
1,2,4,5,2,1,2,3,3,40.00,"4000,00%"
1,2,4,3,2,1,1,2,2,50.00,"5000,00%"
1,2,4,1,4,1,1,4,4,45.00,"4500,00%"
1,2,1,5,1,1,1,3,4,55.00,"5500,00%"
1,2,2,3,3,1,1,3,3,63.00,"6300,00%"
1,2,1,5,1,1,2,2,3,50.00,"5000,00%"
1,2,3,3,2,1,1,2,4,40.00,"4000,00%"
1,2,1,5,2,1,1,3,1,40.00,"4000,00%"
0,2,1,5,1,1,1,2,3,86.00,"8600,00%"
0,2,1,3,1,1,1,3,4,62.00,"6200,00%"
1,2,1,4,1,1,1,2,3,75.00,"7500,00%"
0,2,1,2,1,1,2,3,2,89.00,"8900,00%"
1,2,0,0,0,0,2,5,4,75.00,"7500,00%"
1,2,1,5,1,1,3,2,2,50.00,"5000,00%"
0,2,1,4,2,1,1,2,2,88.00,"8800,00%"
0,2,1,2,2,1,2,2,3,90.00,"9000,00%"
0,2,2,3,3,1,2,5,2,90.00,"9000,00%"
0,2,0,0,0,0,1,3,2,70.00,"7000,00%"
1,2,3,5,3,1,2,4,3,48.00,"4800,00%"
0,2,1,2,1,1,1,4,4,57.75,"5775,00%"
1,2,1,5,1,1,1,2,2,70.00,"7000,00%"
0,2,2,3,2,1,1,3,3,70.00,"7000,00%"
0,2,0,0,0,0,1,5,3,94.00,"9400,00%"
0,2,3,3,3,1,2,2,2,90.00,"9000,00%"
1,2,1,4,1,1,3,2,3,60.00,"6000,00%"
0,2,1,4,1,1,1,2,1,70.00,"7000,00%"
0,2,2,3,1,1,1,4,2,55.00,"5500,00%"
0,2,1,3,2,1,1,1,3,66.00,"6600,00%"
0,2,2,3,2,1,2,4,4,75.00,"7500,00%"
0,2,4,4,2,1,3,3,2,71.00,"7100,00%"
1,2,0,0,0,0,2,3,3,75.00,"7500,00%"
0,2,1,5,1,1,2,4,4,65.00,"6500,00%"
0,2,1,5,2,1,1,6,5,87.00,"8700,00%"
1,2,1,2,1,1,3,2,3,68.00,"6800,00%"
1,2,1,2,1,1,3,3,2,75.00,"7500,00%"
0,2,3,3,1,1,2,2,3,86.00,"8600,00%"
0,2,3,1,2,1,3,4,5,55.00,"5500,00%"
1,2,4,5,5,1,3,4,2,70.00,"7000,00%"
0,2,3,3,3,1,2,3,3,80.00,"8000,00%"
1,2,2,1,2,1,1,3,3,91.00,"9100,00%"
0,2,4,5,1,1,2,4,4,87.00,"8700,00%"
1,2,4,5,5,1,4,5,5,86.00,"8600,00%"
1,2,4,3,5,1,1,3,3,45.00,"4500,00%"
0,2,1,3,1,1,1,4,5,70.00,"7000,00%"
0,2,1,1,1,1,1,2,2,60.00,"6000,00%"
0,2,4,3,3,1,2,3,3,88.00,"8800,00%"
1,2,3,1,2,1,2,4,2,70.00,"7000,00%"
1,2,3,5,3,1,3,5,5,57.00,"5700,00%"
0,2,1,5,1,1,1,2,2,70.00,"7000,00%"
0,2,3,1,2,1,1,4,2,80.00,"8000,00%"
0,2,1,4,1,1,1,4,3,70.00,"7000,00%"
0,2,2,3,4,1,2,3,3,71.00,"7100,00%"
1,2,4,2,5,1,3,5,4,80.00,"8000,00%"
0,2,3,1,3,1,1,4,2,80.00,"8000,00%"
0,2,2,5,1,1,2,4,2,88.00,"8800,00%"
0,2,2,4,2,1,2,4,5,75.00,"7500,00%"
1,2,2,1,3,1,2,3,2,70.00,"7000,00%"
1,2,3,1,1,1,1,4,5,76.00,"7600,00%"
0,2,4,5,1,1,1,4,2,67.00,"6700,00%"
0,2,1,5,1,1,3,3,2,75.00,"7500,00%"
0,2,4,1,3,1,2,4,3,73.00,"7300,00%"
0,2,3,1,3,1,2,2,3,55.00,"5500,00%"
1,2,2,2,2,1,2,3,3,87.00,"8700,00%"
1,2,0,0,0,0,4,4,2,98.00,"9800,00%"
1,2,3,4,1,1,2,3,3,98.00,"9800,00%"
0,2,2,2,2,1,4,5,5,97.66,"9766,00%"
0,2,1,4,1,1,2,4,4,82.50,"8250,00%"
0,2,2,5,1,1,3,6,5,98.50,"9850,00%"
1,2,4,1,5,1,3,2,2,40.00,"4000,00%"
0,2,0,0,0,0,1,2,2,78.50,"7850,00%"
0,2,1,4,1,1,3,5,5,94.50,"9450,00%"
0,2,1,5,1,1,2,4,4,91.00,"9100,00%"
0,2,1,5,2,1,1,3,5,90.00,"9000,00%"
0,2,1,2,2,1,2,2,2,95.24,"9524,00%"
1,2,1,5,3,1,2,5,5,70.00,"7000,00%"
0,2,2,3,2,1,1,2,3,65.50,"6550,00%"
0,2,4,4,2,1,3,4,5,80.00,"8000,00%"
0,2,0,0,0,0,1,6,6,85.50,"8550,00%"
0,2,1,5,1,1,3,5,4,75.00,"7500,00%"
0,2,1,1,3,1,2,2,4,74.00,"7400,00%"
0,2,1,5,1,1,2,2,2,85.00,"8500,00%"
0,2,2,4,2,1,3,5,4,90.00,"9000,00%"
1,2,2,3,2,1,4,5,4,93.50,"9350,00%"
0,2,1,2,1,1,1,4,2,65.50,"6550,00%"
1,2,3,1,5,1,2,2,2,50.00,"5000,00%"
0,2,0,0,0,0,2,4,2,90.80,"9080,00%"
0,2,2,3,2,1,3,4,4,86.70,"8670,00%"
0,2,2,3,2,1,1,4,2,70.00,"7000,00%"
0,2,1,5,2,1,2,2,3,75.00,"7500,00%"
0,2,2,2,2,1,2,3,3,60.00,"6000,00%"
1,2,1,1,2,1,3,3,3,63.00,"6300,00%"
0,3,0,0,0,0,2,2,2,80.00,"8000,00%"
0,3,1,5,2,1,3,4,4,74.00,"7400,00%"
0,3,0,0,0,0,3,6,4,85.00,"8500,00%"
0,3,0,0,0,0,2,4,3,87.00,"8700,00%"
1,3,0,0,0,0,4,3,3,65.00,"6500,00%"
0,3,0,0,0,0,2,4,2,68.00,"6800,00%"
0,3,0,0,0,0,2,5,5,70.00,"7000,00%"
0,3,0,0,0,0,3,4,3,75.00,"7500,00%"
1,3,4,1,2,1,1,2,2,55.00,"5500,00%"
1,3,1,2,1,1,1,4,3,55.00,"5500,00%"
0,3,2,4,3,1,2,3,3,50.00,"5000,00%"
1,3,0,0,0,0,2,4,4,80.00,"8000,00%"
0,3,0,0,0,0,3,4,4,90.00,"9000,00%"
1,3,4,3,2,1,3,4,3,50.00,"5000,00%"
1,3,0,0,0,0,2,4,2,90.00,"9000,00%"
0,3,0,0,0,0,3,6,4,86.00,"8600,00%"
0,3,0,0,0,0,2,3,2,65.00,"6500,00%"
1,3,1,2,2,1,3,3,3,45.00,"4500,00%"
1,3,1,3,1,1,2,4,4,50.00,"5000,00%"
0,3,0,0,0,0,2,4,3,85.00,"8500,00%"
1,3,0,0,0,0,2,3,3,65.00,"6500,00%"
0,3,0,0,0,0,2,3,3,85.00,"8500,00%"
0,3,2,3,3,1,3,2,2,70.00,"7000,00%"
0,3,2,3,2,1,2,3,3,67.00,"6700,00%"
0,3,0,0,0,0,3,3,2,88.00,"8800,00%"
1,3,0,0,0,0,1,4,2,70.00,"7000,00%"
1,3,0,0,0,0,1,4,4,65.00,"6500,00%"
0,3,3,4,3,1,1,3,3,60.00,"6000,00%"
1,3,2,3,1,1,2,3,3,85.00,"8500,00%"
1,3,3,1,3,1,1,5,4,75.00,"7500,00%"
1,3,1,5,2,1,1,2,2,60.00,"6000,00%"
1,3,0,0,0,0,2,1,3,65.00,"6500,00%"
0,3,2,4,2,1,1,2,2,70.00,"7000,00%"
0,3,0,0,0,0,1,2,3,65.00,"6500,00%"
0,3,0,0,0,0,2,5,3,60.00,"6000,00%"
0,3,3,2,1,1,1,5,4,50.00,"5000,00%"
0,3,0,0,0,0,3,3,2,50.00,"5000,00%"
0,3,0,0,0,0,2,4,3,86.00,"8600,00%"
1,3,4,1,4,1,2,2,2,55.00,"5500,00%"
0,3,0,0,0,0,2,2,3,59.00,"5900,00%"
0,3,0,0,0,0,1,2,2,55.00,"5500,00%"
0,3,1,5,2,1,2,4,4,88.00,"8800,00%"
0,3,3,3,2,1,1,4,3,55.00,"5500,00%"
0,3,1,2,1,1,1,2,4,60.00,"6000,00%"
0,3,1,3,3,1,2,4,4,100,"10000,00%"
0,3,1,2,1,1,1,3,1,65.00,"6500,00%"
0,3,3,3,2,1,2,5,4,70.00,"7000,00%"
1,3,1,5,2,1,2,3,1,65.00,"6500,00%"
1,3,1,4,3,1,3,5,3,65.00,"6500,00%"
1,3,3,3,1,1,2,4,5,50.00,"5000,00%"
0,3,1,5,1,1,1,1,2,70.00,"7000,00%"
0,3,2,5,1,1,2,4,4,90.00,"9000,00%"
1,3,2,2,1,1,2,5,4,90.00,"9000,00%"
1,3,1,4,2,1,1,3,4,70.00,"7000,00%"
0,3,1,2,1,1,2,3,2,65.00,"6500,00%"
1,3,4,1,3,1,2,5,3,75.00,"7500,00%"
0,3,2,3,1,1,2,4,4,80.00,"8000,00%"
1,3,1,3,1,1,1,4,1,65.00,"6500,00%"
1,3,0,0,0,0,1,2,2,92.60,"9260,00%"
1,3,0,0,0,0,2,3,1,50.00,"5000,00%"
0,3,1,3,1,1,1,3,3,53.00,"5300,00%"
0,3,1,5,1,1,2,4,2,90.00,"9000,00%"
0,3,1,5,2,1,2,3,3,80.00,"8000,00%"
1,3,3,4,3,1,1,3,3,50.00,"5000,00%"
1,3,1,5,1,1,2,2,3,75.00,"7500,00%"
1,3,4,3,3,1,2,2,2,75.00,"7500,00%"
1,4,3,5,2,1,3,5,6,90.00,"9000,00%"
0,4,0,0,0,0,2,3,4,70.00,"7000,00%"
0,4,0,0,0,0,2,4,3,85.00,"8500,00%"
0,4,0,0,0,0,2,2,2,77.50,"7750,00%"
1,4,4,3,3,1,4,4,4,80.00,"8000,00%"
1,4,0,0,0,0,1,3,3,60.00,"6000,00%"
0,4,1,2,2,1,1,2,2,72.00,"7200,00%"
0,4,0,0,0,0,2,5,3,80.00,"8000,00%"
0,4,0,0,0,0,3,4,5,80.00,"8000,00%"
0,4,0,0,0,0,2,3,4,70.00,"7000,00%"
0,4,0,0,0,0,2,4,4,89.00,"8900,00%"
0,4,0,0,0,0,3,3,2,80.00,"8000,00%"
1,4,0,0,0,0,1,3,3,70.00,"7000,00%"
1,4,1,4,1,1,4,3,4,75.00,"7500,00%"
0,4,0,0,0,0,3,5,4,87.00,"8700,00%"
0,4,0,0,0,0,1,3,2,70.00,"7000,00%"
0,4,0,0,0,0,1,4,5,85.00,"8500,00%"
1,4,3,2,2,1,2,4,4,85.00,"8500,00%"
1,4,2,4,2,1,2,6,5,75.00,"7500,00%"
1,4,4,1,4,1,3,4,4,98.00,"9800,00%"
1,4,4,2,1,1,3,4,3,99.00,"9900,00%"
1,4,4,1,1,1,2,5,5,87.00,"8700,00%"
1,4,2,1,2,1,2,2,4,82.00,"8200,00%"
0,4,4,3,3,1,2,4,4,70.00,"7000,00%"
1,4,1,1,3,1,1,4,4,50.00,"5000,00%"
1,4,3,5,5,1,2,3,2,60.00,"6000,00%"
1,4,3,1,5,1,4,3,3,70.00,"7000,00%"
1,4,1,2,2,1,1,2,2,42.50,"4250,00%"
1,4,1,2,1,1,2,5,5,76.00,"7600,00%"
1,4,1,2,3,1,3,5,3,92.50,"9250,00%"
1,4,1,4,1,1,2,4,4,40.00,"4000,00%"
1,4,4,1,2,1,3,3,4,60.00,"6000,00%"
1,4,4,3,3,1,1,3,3,70.00,"7000,00%"
0,4,2,2,2,1,1,3,3,60.00,"6000,00%"
1,4,4,1,4,1,2,3,4,90.00,"9000,00%"
0,4,0,0,0,0,1,4,2,50.00,"5000,00%"
1,4,1,1,2,1,2,4,4,50.00,"5000,00%"
1,4,3,5,2,1,3,6,4,80.50,"8050,00%"
0,4,1,5,2,1,1,2,2,75.00,"7500,00%"
1,4,2,5,3,1,3,6,5,99.00,"9900,00%"
1,4,4,1,5,1,4,5,4,83.50,"8350,00%"
0,4,1,5,1,1,3,4,5,75.00,"7500,00%"
0,4,2,2,1,1,3,4,4,70.00,"7000,00%"
1,4,1,5,1,1,1,3,1,50.60,"5060,00%"
1,4,4,1,5,1,2,5,3,70.00,"7000,00%"
0,4,1,3,2,1,1,3,4,53.00,"5300,00%"
0,4,1,5,1,1,3,5,4,97.50,"9750,00%"
0,4,4,5,1,1,2,2,3,67.00,"6700,00%"
1,4,4,5,5,1,2,4,4,88.00,"8800,00%"
0,4,1,5,1,1,2,4,3,90.00,"9000,00%"
0,4,0,0,0,0,2,4,5,90.00,"9000,00%"
0,4,1,3,2,1,1,5,2,50.00,"5000,00%"
1,4,1,5,3,1,2,5,4,89.00,"8900,00%"
1,4,3,1,2,1,3,5,3,95.00,"9500,00%"
1,4,4,1,3,1,2,3,4,75.00,"7500,00%"
0,4,2,1,2,1,2,3,4,60.00,"6000,00%"
0,4,2,3,1,1,3,4,5,98.00,"9800,00%"
0,4,1,5,1,1,2,4,4,95.00,"9500,00%"
1,4,4,5,3,1,3,5,5,91.00,"9100,00%"
1,4,2,5,2,1,3,4,4,55.00,"5500,00%"
0,4,2,5,1,1,3,5,4,89.50,"8950,00%"
1,4,1,5,1,1,3,3,3,90.00,"9000,00%"
1,4,3,3,2,1,3,4,2,55.50,"5550,00%"
1,4,2,5,2,1,2,4,4,75.00,"7500,00%"
1,4,1,5,2,1,3,6,6,92.50,"9250,00%"
1,4,4,5,2,1,2,3,4,93.00,"9300,00%"
1,4,1,3,2,1,2,5,3,93.00,"9300,00%"
1,4,3,1,4,1,2,5,5,80.00,"8000,00%"
1,4,4,1,4,1,2,4,4,50.00,"5000,00%"
0,4,0,0,0,0,1,4,4,62.00,"6200,00%"
1,4,1,5,1,1,2,4,4,96.50,"9650,00%"
0,4,2,4,2,1,2,4,4,50.00,"5000,00%"
0,4,0,0,0,0,1,3,3,55.00,"5500,00%"
1,4,3,4,2,1,3,5,4,75.00,"7500,00%"
0,4,0,0,0,0,3,5,4,86.00,"8600,00%"
1,4,3,1,2,1,3,5,4,52.00,"5200,00%"
0,4,0,0,0,0,2,4,4,85.00,"8500,00%"
1,4,4,3,1,1,4,3,4,80.00,"8000,00%"
0,4,1,3,2,1,1,2,4,62.00,"6200,00%"
1,4,3,1,1,1,2,5,5,62.00,"6200,00%"
1,4,1,1,2,1,2,3,3,40.00,"4000,00%"
0,4,2,5,4,1,2,2,4,80.00,"8000,00%"
0,4,0,0,0,0,3,4,2,75.00,"7500,00%"
0,4,1,3,2,1,3,5,4,68.00,"6800,00%"
1,4,3,3,2,1,3,2,2,88.00,"8800,00%"
1,4,1,1,3,1,2,4,4,56.00,"5600,00%"
0,4,1,3,1,1,2,3,3,67.20,"6720,00%"
0,4,0,0,0,0,4,4,4,76.00,"7600,00%"
0,4,0,0,0,0,1,4,4,70.00,"7000,00%"
1,4,3,1,3,1,2,4,2,60.00,"6000,00%"
1,4,1,4,1,1,2,5,3,42.50,"4250,00%"
1,4,1,5,2,1,2,5,4,80.00,"8000,00%"
0,4,0,0,0,0,3,4,4,97.00,"9700,00%"
0,4,0,0,0,0,2,4,4,75.00,"7500,00%"
0,4,0,0,0,0,2,4,4,92..00,"92,,00"
1,4,4,4,2,1,3,3,3,85.00,"8500,00%"
0,4,1,5,1,1,2,6,4,90.00,"9000,00%"
0,4,2,2,1,1,1,4,3,85.00,"8500,00%"
0,4,0,0,0,0,1,3,2,70.00,"7000,00%"
1,4,2,3,2,1,2,3,1,43.00,"4300,00%"
0,4,0,0,0,0,2,5,3,85.00,"8500,00%"
1,4,1,3,3,1,2,4,4,85.00,"8500,00%"
0,4,2,5,2,1,2,3,3,65.00,"6500,00%"
0,4,2,1,3,1,2,3,3,70.00,"7000,00%"
0,4,2,3,1,1,3,4,5,75.00,"7500,00%"
1,4,1,3,2,1,2,2,3,55.00,"5500,00%"
1,4,1,1,2,1,3,5,5,68.00,"6800,00%"
1,4,4,5,4,1,4,4,4,95.00,"9500,00%"
1,4,3,5,2,1,4,5,5,95.00,"9500,00%"
1,4,0,0,0,0,2,5,4,59.69,"5969,00%"
1,4,4,3,3,1,1,5,4,85.00,"8500,00%"
1,4,4,1,3,1,2,4,3,65.00,"6500,00%"
1,4,1,3,3,1,3,4,4,45.00,"4500,00%"
0,4,0,0,0,0,2,4,5,87.50,"8750,00%"
1,4,1,5,1,1,2,3,4,88.00,"8800,00%"
1,4,4,1,4,1,2,5,3,40.00,"4000,00%"
0,4,0,0,0,0,2,5,4,77.00,"7700,00%"
1,4,2,3,2,1,3,4,4,71.00,"7100,00%"
0,4,0,0,0,0,2,4,3,75.00,"7500,00%"
0,4,0,0,0,0,4,6,6,90.00,"9000,00%"
1,4,3,3,3,1,2,3,3,65.00,"6500,00%"
1,4,1,3,2,1,2,4,3,65.00,"6500,00%"
1,5,4,1,3,1,3,5,4,100,"10000,00%"
0,5,2,5,2,1,4,5,3,100,"10000,00%"
1,5,2,4,2,1,3,4,2,100,"10000,00%"
1,5,2,4,3,1,4,2,4,100,"10000,00%"
1,5,3,4,1,1,2,4,4,90.50,"9050,00%"
0,5,0,0,0,0,3,3,4,100,"10000,00%"
1,5,4,1,5,1,1,4,3,80.00,"8000,00%"
1,5,2,1,2,1,2,5,3,85.00,"8500,00%"
0,5,1,5,1,1,4,6,6,100,"10000,00%"
0,5,1,3,1,1,3,5,3,100,"10000,00%"
0,5,2,3,3,1,4,4,4,100,"10000,00%"
1,5,2,5,3,1,3,4,3,85.00,"8500,00%"
1,5,3,4,1,1,4,4,4,90.00,"9000,00%"
1,5,0,0,0,0,3,4,5,85.00,"8500,00%"
1,5,4,1,4,1,3,4,4,100,"10000,00%"
0,5,4,2,3,1,4,5,3,80.00,"8000,00%"
0,5,0,0,0,0,4,4,4,90.00,"9000,00%"
0,5,3,3,2,1,2,3,3,100,"10000,00%"
0,5,1,2,1,1,3,4,4,96.50,"9650,00%"
0,5,2,4,3,1,3,4,4,85.00,"8500,00%"
0,5,0,0,0,0,2,5,4,100,"10000,00%"
0,5,0,0,0,0,2,4,4,100,"10000,00%"
1,5,0,0,0,0,3,6,5,98.00,"9800,00%"
0,5,3,5,2,1,4,6,5,100,"10000,00%"
1,5,3,1,4,1,2,4,3,92.00,"9200,00%"
1,5,4,4,2,1,2,5,4,90.00,"9000,00%"
0,5,3,3,1,1,3,4,4,85.00,"8500,00%"
0,5,1,5,2,1,4,5,4,85.00,"8500,00%"
0,5,0,0,0,0,2,5,4,100,"10000,00%"
1,5,1,3,2,1,2,5,5,72.50,"7250,00%"
1,5,3,3,2,1,4,4,4,85.00,"8500,00%"
0,6,1,5,2,1,4,4,4,100,"10000,00%"
1,6,2,1,2,1,4,5,5,100,"10000,00%"
1,6,1,4,1,1,4,2,2,100,"10000,00%"
1,6,4,5,5,1,4,3,3,85.00,"8500,00%"
1,6,0,0,0,0,3,2,4,100,"10000,00%"
0,6,2,3,1,1,2,3,3,75.00,"7500,00%"
1,6,2,5,2,1,4,2,2,100,"10000,00%"
1,6,3,5,3,1,4,0,6,100,"10000,00%"
1,6,4,1,4,1,1,4,4,100,"10000,00%"
0,6,0,0,0,0,3,4,5,100,"10000,00%"
1,6,4,3,3,1,4,6,4,100,"10000,00%"
1,6,3,2,3,1,3,6,6,100,"10000,00%"
1,6,4,5,5,1,4,4,4,70.00,"7000,00%"
1,6,3,5,2,1,3,6,5,100,"10000,00%"
1,6,0,0,0,0,3,5,3,100,"10000,00%"
0,6,0,0,0,0,3,5,4,100,"10000,00%"
1,6,3,2,2,1,4,6,6,100,"10000,00%"
1,6,1,5,2,1,4,6,5,100,"10000,00%"
1,6,3,1,3,1,3,5,5,100,"10000,00%"
0,6,0,0,0,0,4,6,5,90,"9000,00%"
1,6,3,5,2,1,2,4,4,100,"10000,00%"
0,7,0,0,0,0,0,4,4,95.00,"9500,00%"
1,7,1,2,1,1,0,5,3,100,"10000,00%"
0,7,3,2,1,1,0,5,5,100,"10000,00%"
0,7,3,2,2,1,0,4,3,85.00,"8500,00%"
1,7,2,5,1,1,0,4,5,90.00,"9000,00%"
0,7,0,0,0,0,0,4,4,100,"10000,00%"
0,7,0,0,0,0,0,5,4,90.00,"9000,00%"
1,7,0,0,0,0,0,5,5,100,"10000,00%"
1,7,1,5,1,1,0,5,5,100,"10000,00%"
1,7,1,5,1,1,0,4,4,86.00,"8600,00%"
0,7,3,2,1,1,0,5,5,90.00,"9000,00%"
1,7,3,5,3,1,0,3,3,90.00,"9000,00%"
1,7,3,5,1,1,0,5,5,100,"10000,00%"
1,7,3,4,3,1,0,5,5,100,"10000,00%"
0,7,1,2,2,1,0,4,4,95.00,"9500,00%"
1,7,2,2,1,1,0,5,5,100,"10000,00%"
1,7,3,2,3,1,0,3,3,100,"10000,00%"
0,7,0,0,0,0,0,5,4,100,"10000,00%"
0,7,0,0,0,0,0,6,6,100,"10000,00%"
0,7,2,5,3,1,0,4,5,100,"10000,00%"
1,7,1,4,1,1,0,6,6,100,"10000,00%"
1,7,2,3,2,1,0,5,4,90.00,"9000,00%"
1,7,2,4,3,1,0,5,5,100,"10000,00%"
